task,seed,T,engine,session,median_ms,ce
language,8621,2,eager,0,12.191042304039,2.686773586890007
language,8621,2,eager,1,12.571016326546667,2.686773586890007
language,8621,2,eager,2,12.42000237107277,2.686773586890007
language,8621,2,graph,0,6.319699808955193,2.686773586890007
language,8621,2,graph,1,6.316488608717918,2.686773586890007
language,8621,2,graph,2,6.323250010609627,2.686773586890007
language,8621,4,eager,0,15.971895307302477,2.549171707799827
language,8621,4,eager,1,16.1252673715353,2.549171707799827
language,8621,4,eager,2,16.085876151919365,2.549171707799827
language,8621,4,graph,0,10.004732757806778,2.549171707799827
language,8621,4,graph,1,10.01005433499813,2.549171707799827
language,8621,4,graph,2,10.02577692270279,2.549171707799827
language,8622,2,eager,0,12.316716834902763,2.6774280019783085
language,8622,2,eager,1,12.462185695767404,2.6774280019783085
language,8622,2,eager,2,12.46248185634613,2.6774280019783085
language,8622,2,graph,0,6.432795897126198,2.6774280019783085
language,8622,2,graph,1,6.425706669688225,2.6774280019783085
language,8622,2,graph,2,6.43627904355526,2.6774280019783085
language,8622,4,eager,0,15.997271984815598,2.549851026087365
language,8622,4,eager,1,16.11945964396,2.549851026087365
language,8622,4,eager,2,16.159093007445335,2.549851026087365
language,8622,4,graph,0,10.16562432050705,2.549851026087365
language,8622,4,graph,1,10.17783209681511,2.549851026087365
language,8622,4,graph,2,10.185712948441504,2.549851026087365
language,8623,2,eager,0,12.217609211802484,2.677204878547635
language,8623,2,eager,1,12.261593714356422,2.677204878547635
language,8623,2,eager,2,12.585092335939407,2.677204878547635
language,8623,2,graph,0,6.319170817732811,2.677204878547635
language,8623,2,graph,1,6.324755027890205,2.677204878547635
language,8623,2,graph,2,6.324898451566696,2.677204878547635
language,8623,4,eager,0,15.884503722190855,2.542294341609752
language,8623,4,eager,1,15.85429534316063,2.542294341609752
language,8623,4,eager,2,16.36974699795246,2.542294341609752
language,8623,4,graph,0,10.011062026023865,2.542294341609752
language,8623,4,graph,1,10.010018944740295,2.542294341609752
language,8623,4,graph,2,10.027023032307625,2.542294341609752
vision,9621,2,eager,0,8.735310286283493,1.4923532110852655
vision,9621,2,eager,1,8.74391756951809,1.4923532110852655
vision,9621,2,eager,2,8.759401738643646,1.4923532110852655
vision,9621,2,graph,0,3.2797660678625107,1.4923532110852655
vision,9621,2,graph,1,3.100339323282242,1.4923532110852655
vision,9621,2,graph,2,3.2646767795085907,1.4923532110852655
vision,9621,4,eager,0,11.151950806379318,1.4056980814320268
vision,9621,4,eager,1,11.105263605713844,1.4056980814320268
vision,9621,4,eager,2,11.194419115781784,1.4056980814320268
vision,9621,4,graph,0,4.696492105722427,1.4056980814320268
vision,9621,4,graph,1,4.700839519500732,1.4056980814320268
vision,9621,4,graph,2,4.6930089592933655,1.4056980814320268
vision,9622,2,eager,0,8.708285167813301,1.489191537456494
vision,9622,2,eager,1,8.71000625193119,1.489191537456494
vision,9622,2,eager,2,8.764589205384254,1.489191537456494
vision,9622,2,graph,0,3.265300765633583,1.489191537456494
vision,9622,2,graph,1,3.147158771753311,1.489191537456494
vision,9622,2,graph,2,3.2393503934144974,1.489191537456494
vision,9622,4,eager,0,11.144427582621574,1.4160923048636178
vision,9622,4,eager,1,10.99659502506256,1.4160923048636178
vision,9622,4,eager,2,11.24335080385208,1.4160923048636178
vision,9622,4,graph,0,4.774685949087143,1.4160923048636178
vision,9622,4,graph,1,4.77585569024086,1.4160923048636178
vision,9622,4,graph,2,4.7718435525894165,1.4160923048636178
vision,9623,2,eager,0,15.293225646018982,1.4479143535020529
vision,9623,2,eager,1,8.915724232792854,1.4479143535020529
vision,9623,2,eager,2,8.62814113497734,1.4479143535020529
vision,9623,2,graph,0,3.1199082732200623,1.4479143535020529
vision,9623,2,graph,1,3.096718341112137,1.4479143535020529
vision,9623,2,graph,2,3.1346771866083145,1.4479143535020529
vision,9623,4,eager,0,19.65925097465515,1.368510542570916
vision,9623,4,eager,1,11.269407346844671,1.368510542570916
vision,9623,4,eager,2,11.10529527068138,1.368510542570916
vision,9623,4,graph,0,4.708420485258102,1.368510542570916
vision,9623,4,graph,1,4.70350868999958,1.368510542570916
vision,9623,4,graph,2,4.695136100053787,1.368510542570916
vision,9624,2,eager,0,8.645609021186829,1.4659756806020392
vision,9624,2,eager,1,8.624056354165077,1.4659756806020392
vision,9624,2,eager,2,15.01450315117836,1.4659756806020392
vision,9624,2,graph,0,3.154465928673744,1.4659756806020392
vision,9624,2,graph,1,3.151312470436096,1.4659756806020392
vision,9624,2,graph,2,3.2896101474761963,1.4659756806020392
vision,9624,4,eager,0,10.94898208975792,1.3878709265050246
vision,9624,4,eager,1,10.919248685240746,1.3878709265050246
vision,9624,4,eager,2,19.34790425002575,1.3878709265050246
vision,9624,4,graph,0,4.774615168571472,1.3878709265050246
vision,9624,4,graph,1,4.775203764438629,1.3878709265050246
vision,9624,4,graph,2,4.786919802427292,1.3878709265050246
vision,9625,2,eager,0,14.96688649058342,1.4679361958349588
vision,9625,2,eager,1,8.685028180480003,1.4679361958349588
vision,9625,2,eager,2,8.7208803743124,1.4679361958349588
vision,9625,2,graph,0,3.285517916083336,1.4679361958349588
vision,9625,2,graph,1,3.0963383615016937,1.4679361958349588
vision,9625,2,graph,2,3.109363839030266,1.4679361958349588
vision,9625,4,eager,0,19.1936157643795,1.3926004802197915
vision,9625,4,eager,1,11.046098545193672,1.3926004802197915
vision,9625,4,eager,2,11.12760417163372,1.3926004802197915
vision,9625,4,graph,0,4.699559882283211,1.3926004802197915
vision,9625,4,graph,1,4.691803827881813,1.3926004802197915
vision,9625,4,graph,2,4.690892994403839,1.3926004802197915
