task,seed,T,eager_ce,graph_ce,ce_graph_minus_eager,eager_accuracy,graph_accuracy,prediction_changes,predictions_compared,max_per_item_loss_sum_error,loss_arrays_bitwise_equal
language,8621,2,2.686773586890007,2.686773586890007,0.0,0.5079062957540263,0.5079062957540263,0,40980,0.0,True
language,8621,4,2.549171707799827,2.549171707799827,0.0,0.5262811127379209,0.5262811127379209,0,40980,0.0,True
language,8622,2,2.6774280019783085,2.6774280019783085,0.0,0.5107613469985359,0.5107613469985359,0,40980,0.0,True
language,8622,4,2.5498510260873655,2.5498510260873655,0.0,0.5266959492435335,0.5266959492435335,0,40980,0.0,True
language,8623,2,2.677204878547635,2.677204878547635,0.0,0.509053196681308,0.509053196681308,0,40980,0.0,True
language,8623,4,2.5422943416097517,2.5422943416097517,0.0,0.5284529038555393,0.5284529038555393,0,40980,0.0,True
vision,9621,2,1.4923532110852655,1.4923532110852655,0.0,0.6394,0.6394,0,10000,0.0,True
vision,9621,4,1.4056980814320268,1.4056980814320268,0.0,0.6667,0.6667,0,10000,0.0,True
vision,9622,2,1.489191537456494,1.489191537456494,0.0,0.6394,0.6394,0,10000,0.0,True
vision,9622,4,1.4160923048636178,1.4160923048636178,0.0,0.6624,0.6624,0,10000,0.0,True
vision,9623,2,1.4479143535020529,1.4479143535020529,0.0,0.6472,0.6472,0,10000,0.0,True
vision,9623,4,1.368510542570916,1.368510542570916,0.0,0.669,0.669,0,10000,0.0,True
vision,9624,2,1.4659756806020392,1.4659756806020392,0.0,0.6465,0.6465,0,10000,0.0,True
vision,9624,4,1.3878709265050246,1.3878709265050246,0.0,0.6672,0.6672,0,10000,0.0,True
vision,9625,2,1.4679361958349588,1.4679361958349588,0.0,0.6454,0.6454,0,10000,0.0,True
vision,9625,4,1.3926004802197915,1.3926004802197915,0.0,0.6652,0.6652,0,10000,0.0,True
